 
ZENNER DO BRASIL INSTRUMENTOS DE MEDICAO LTDA    FILIAL: ZRB;                                                                    13/04/26 17:33 PAGINA:   1/1
RELATORIO VINCULO DE LACRE COM O LOTE;LACRES: 0 A 999999999;
________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________;
COD. LACRE;LACRE;DATA VINCULO;SEQ. LOTE;TIPO;LOTE PRODUTO;COD. INMETRO;LOTE INMETRO;
________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________;
434875;ECH2761134;05/08/2024;484853;G;I24Z0000277D;;;
434876;ECH2761146;05/08/2024;484851;G;I24Z0000275D;;;
434877;ECH2761158;05/08/2024;484852;G;I24Z0000276D;;;
434878;ECH2761160;06/08/2024;484858;G;I24Z0000282D;;;
434879;ECH2761171;06/08/2024;484859;G;I24Z0000283D;;;
434880;ECH2761183;06/08/2024;484855;G;I24Z0000279D;;;
434881;ECH2761195;06/08/2024;484854;G;I24Z0000278D;;;
434882;ECH2761201;06/08/2024;484856;G;I24Z0000280D;;;
434883;ECH2761213;06/08/2024;484862;G;I24Z0000286D;;;
434884;ECH2761225;06/08/2024;484863;G;I24Z0000287D;;;
434885;ECH2761237;06/08/2024;484864;G;I24Z0000288D;;;
434886;ECH2761249;06/08/2024;484857;G;I24Z0000281D;;;
434887;ECH2761250;06/08/2024;484860;G;I24Z0000284D;;;
434888;ECH2761262;06/08/2024;484861;G;I24Z0000285D;;;
434889;ECH2761274;06/08/2024;484865;G;I24Z0000289D;;;
434890;ECH2761286;06/08/2024;484866;G;I24Z0000290D;;;
434891;ECH2761298;06/08/2024;484867;G;I24Z0000291D;;;
434892;ECH2761304;06/08/2024;484870;G;I24Z0000294D;;;
434893;ECH2761316;06/08/2024;484869;G;I24Z0000293D;;;
434894;ECH2761328;06/08/2024;484868;G;I24Z0000292D;;;
434895;ECH2761330;06/08/2024;484873;G;I24Z0000297D;;;
434896;ECH2761341;06/08/2024;484871;G;I24Z0000295D;;;
434897;ECH2761353;06/08/2024;484872;G;I24Z0000296D;;;
434898;ECH2761365;06/08/2024;484877;G;I24Z0000301D;;;
434899;ECH2761377;06/08/2024;484878;G;I24Z0000302D;;;
434900;ECH2761389;06/08/2024;484879;G;I24Z0000303D;;;
434901;ECH2761390;06/08/2024;484876;G;I24Z0000300D;;;
434902;ECH2761407;06/08/2024;484875;G;I24Z0000299D;;;
434903;ECH2761419;06/08/2024;484874;G;I24Z0000298D;;;
434904;ECH2761420;06/08/2024;484880;G;I24Z0000304D;;;
434905;ECH2761432;06/08/2024;484881;G;I24Z0000305D;;;
434906;ECH2761444;06/08/2024;484882;G;I24Z0000306D;;;
434907;ECH2761456;09/08/2024;484884;G;I24Z0000308D;;;
434908;ECH2761468;09/08/2024;484885;G;I24Z0000309D;;;
434909;ECH2761470;06/08/2024;484886;G;I24Z0000310D;;;
434910;ECH2761481;06/08/2024;484887;G;I24Z0000311D;;;
434911;ECH2761493;06/08/2024;484888;G;I24Z0000312D;;;
434912;ECH2761500;06/08/2024;484883;G;I24Z0000307D;;;
434913;ECH2761511;06/08/2024;484893;G;I24Z0000317D;;;
434914;ECH2761523;06/08/2024;484892;G;I24Z0000316D;;;
434915;ECH2761535;06/08/2024;484889;G;I24Z0000313D;;;
434916;ECH2761547;06/08/2024;484890;G;I24Z0000314D;;;
434917;ECH2761559;06/08/2024;484891;G;I24Z0000315D;;;
434918;ECH2761560;06/08/2024;484896;G;I24Z0000320D;;;
434919;ECH2761572;06/08/2024;484895;G;I24Z0000319D;;;
434920;ECH2761584;06/08/2024;484899;G;I24Z0000323D;;;
434921;ECH2761596;06/08/2024;484897;G;I24Z0000321D;;;
434922;ECH2761602;06/08/2024;484898;G;I24Z0000322D;;;
434923;ECH2761614;06/08/2024;484894;G;I24Z0000318D;;;
434924;ECH2761626;06/08/2024;484900;G;I24Z0000324D;;;
434925;ECH2761638;06/08/2024;484452;G;I23Z0000864D;;;
